Empresa	Classe	Código	Setor NAICS	Setor	Subsetor	Segmento	Segmento B3
Alpargatas	PN	ALPA4	Indústria de calçados	Consumo cíclico	Tecidos vestuário e calçados	Calçados	Nível 1
Alper S.A.	ON	APER3	Corretora de seguros	Financeiro	Previdência e seguros	Corretoras de seguros	Novo Mercado
Alphaville	ON	AVLL3	Construção de edifícios residenciais	Consumo cíclico	Construção civil	Incorporações	Novo Mercado
Alupar	ON	ALUP3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Nível 2
Alupar	PN	ALUP4	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Nível 2
Alupar	UNT N2	ALUP11	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Nível 2
Amazonia	ON	BAZA3	Bancos	Financeiro	Intermediários financeiros	Bancos	Tradicional
Ambev S/A	ON	ABEV3	Indústria de bebidas	Consumo não cíclico	Bebidas	Cervejas e refrigerantes	Tradicional
Ambipar	ON	AMBP3	Água, esgoto e outros sistemas	Utilidade pública	Água e saneamento	Água e saneamento	Novo Mercado
Ampla Energ	ON	CBEE3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Anima	ON	ANIM3	Escola de ensino superior	Consumo cíclico	Diversos	Serviços educacionais	Novo Mercado
Arezzo Co	ON	ARZZ3	Indústria de calçados	Consumo cíclico	Comércio	Tecidos vestuário e calçados	Novo Mercado
Atmasa	ON	ATMP3	Serviços de apoio a empresas	Bens industriais	Serviços diversos	Serviços diversos	Novo Mercado
Atompar	ON	ATOM3	Telecomunicações	Outros	Outros	Outros	Tradicional
Aura 360	ON	AURA33	Mineração de metais	Materiais básicos	Mineração	Minerais metálicos	BDR nível 3
Azevedo	ON	AZEV3	Outras construções pesadas e de engenharia civil	Bens industriais	Construção e engenharia	Construção pesada	Tradicional
Azevedo	PN	AZEV4	Outras construções pesadas e de engenharia civil	Bens industriais	Construção e engenharia	Construção pesada	Tradicional
Azul S.A.	PN	AZUL4	Transporte aéreo regular	Bens industriais	Transporte	Transporte aéreo	Nível 2
B2W Digital	ON	BTOW3	Vendas por correio ou meio eletrônico	Consumo cíclico	Comércio	Produtos diversos	Novo Mercado
B3	ON	B3SA3	Bolsa de valores e commodities	Financeiro	Serviços financeiros diversos	Serviços financeiros diversos	Novo Mercado
Bahema	ON	BAHI3	Administração de empresas e empreendimentos	Consumo cíclico	Diversos	Serviços educacionais	Bovespa Mais
Banco BMG	PN	BMGB4	Bancos	Financeiro	Intermediários financeiros	Bancos	Nível 1
Banco Inter	ON	BIDI3	Bancos	Financeiro	Intermediários financeiros	Bancos	Nível 2
Banco Inter	PN	BIDI4	Bancos	Financeiro	Intermediários financeiros	Bancos	Nível 2
Banco Inter	UNT	BIDI11	Bancos	Financeiro	Intermediários financeiros	Bancos	Nível 2
Banco Pan	PN	BPAN4	Bancos	Financeiro	Intermediários financeiros	Bancos	Nível 1
Banese	ON	BGIP3	Bancos	Financeiro	Intermediários financeiros	Bancos	Tradicional
Banese	PN	BGIP4	Bancos	Financeiro	Intermediários financeiros	Bancos	Tradicional
Banestes	ON	BEES3	Bancos	Financeiro	Intermediários financeiros	Bancos	Tradicional
Banestes	PN	BEES4	Bancos	Financeiro	Intermediários financeiros	Bancos	Tradicional
Banpara	ON	BPAR3	Bancos	Financeiro	Intermediários financeiros	Bancos	Tradicional
Banrisul	ON	BRSR3	Bancos	Financeiro	Intermediários financeiros	Bancos	Nível 1
Banrisul	PNA	BRSR5	Bancos	Financeiro	Intermediários financeiros	Bancos	Nível 1
Banrisul	PNB	BRSR6	Bancos	Financeiro	Intermediários financeiros	Bancos	Nível 1
Bardella	ON	BDLL3	Industria de máquinas agrícolas, de construção e mineração	Bens industriais	Máquinas e equipamentos	Máq. e equip. industriais	Tradicional
Bardella	PN	BDLL4	Industria de máquinas agrícolas, de construção e mineração	Bens industriais	Máquinas e equipamentos	Máq. e equip. industriais	Tradicional
Battistella	ON	BTTL3	Concessionárias de outros veículos motorizados	Bens industriais	Comércio	Material de transporte	Tradicional
Baumer	ON	BALM3	Indústria de equipamentos e materiais para uso médico	Saúde	Equipamentos	Equipamentos	Tradicional
Baumer	PN	BALM4	Indústria de equipamentos e materiais para uso médico	Saúde	Equipamentos	Equipamentos	Tradicional
Bbmlogistica	ON	BBML3	Transporte rodoviário	Bens industriais	Serviços diversos	Serviços diversos	Bovespa Mais
BBSeguridade	ON	BBSE3	Seguradora	Financeiro	Previdência e seguros	Seguradoras	Novo Mercado
Bemobi Tech	ON	BMOB3	Editoras de software	Tecnologia da informação	Programas e serviços	Programas e serviços	Novo Mercado
Betapart	ON	BETP3B	Atividades relacionadas à intermediação de crédito	Outros	Outros	Outros	Balcão Organizado
Bic Monark	ON	BMKS3	Indústria de outros equipamentos de transporte	Consumo cíclico	Viagens e lazer	Bicicletas	Tradicional
Biomm	ON	BIOM3	Pesquisa científica	Saúde	Medicamentos e outros produtos	Medicamentos e outros produtos	Bovespa Mais
Biosev	ON	BSEV3	Outras outras indústrias	Consumo não cíclico	Alimentos processados	Açúcar e álcool	Novo Mercado
Bk Brasil	ON	BKBR3	Restaurantes e outros lugares para comer	Consumo cíclico	Hotéis e restaurantes	Restaurante e similares	Novo Mercado
Boa Vista	ON	BOAS3	Outros serviços de Informação	Financeiro	Serviços financeiros diversos	Serviços financeiros diversos	Novo Mercado
Bombril	ON	BOBR3	Indústria de artigos de limpeza	Consumo não cíclico	Produtos de uso pessoal e de limpeza	Produtos de limpeza	Tradicional
Bombril	PN	BOBR4	Indústria de artigos de limpeza	Consumo não cíclico	Produtos de uso pessoal e de limpeza	Produtos de limpeza	Tradicional
BR Brokers	ON	BBRK3	Atividades relacionadas a imóveis	Financeiro	Exploração de imóveis	Intermediação imobiliária	Novo Mercado
BR Malls Par	ON	BRML3	Locadora de imóveis	Financeiro	Exploração de imóveis	Exploração de imóveis	Novo Mercado
BR Propert	ON	BRPR3	Locadora de imóveis	Financeiro	Exploração de imóveis	Exploração de imóveis	Novo Mercado
Bradesco	ON	BBDC3	Bancos	Financeiro	Intermediários financeiros	Bancos	Nível 1
Bradesco	PN	BBDC4	Bancos	Financeiro	Intermediários financeiros	Bancos	Nível 1
Bradespar	ON	BRAP3	Administração de empresas e empreendimentos	Materiais básicos	Mineração	Minerais metálicos	Nível 1
Bradespar	PN	BRAP4	Administração de empresas e empreendimentos	Materiais básicos	Mineração	Minerais metálicos	Nível 1
Brasil	ON	BBAS3	Bancos	Financeiro	Intermediários financeiros	Bancos	Novo Mercado
Brasilagro	ON	AGRO3	Agricultura	Consumo não cíclico	Agropecuária	Agricultura	Novo Mercado
Braskem	ON	BRKM3	Indústria química	Materiais básicos	Químicos	Petroquímicos	Nível 1
Braskem	PNA	BRKM5	Indústria química	Materiais básicos	Químicos	Petroquímicos	Nível 1
Braskem	PNB	BRKM6	Indústria química	Materiais básicos	Químicos	Petroquímicos	Nível 1
BRB Banco	ON	BSLI3	Bancos	Financeiro	Intermediários financeiros	Bancos	Tradicional
BRB Banco	PN	BSLI4	Bancos	Financeiro	Intermediários financeiros	Bancos	Tradicional
BRF SA	ON	BRFS3	Abatedouros	Consumo não cíclico	Alimentos processados	Carnes e derivados	Novo Mercado
Brq	ON	BRQB3	Editoras de software	Tecnologia da informação	Programas e serviços	Programas e serviços	Bovespa Mais
Btgp Banco	ON	BPAC3	Bancos	Financeiro	Intermediários financeiros	Bancos	Nível 2
Btgp Banco	PNA	BPAC5	Bancos	Financeiro	Intermediários financeiros	Bancos	Nível 2
Btgp Banco	UNT	BPAC11	Bancos	Financeiro	Intermediários financeiros	Bancos	Nível 2
Cabinda Part	ON	CABI3B	Administração de empresas e empreendimentos	Outros	Outros	Outros	Balcão Organizado
Caconde Part	ON	CACO3B	Administração de empresas e empreendimentos	Outros	Outros	Outros	Balcão Organizado
Cambuci	ON	CAMB3	Indústria de calçados	Consumo cíclico	Tecidos vestuário e calçados	Calçados	Tradicional
Camil	ON	CAML3	Outras indústrias de alimentos	Consumo não cíclico	Alimentos processados	Alimentos diversos	Novo Mercado
Carrefour BR	ON	CRFB3	Loja de departamentos	Consumo não cíclico	Comércio e distribuição	Alimentos	Novo Mercado
Casan	ON	CASN3	Água, esgoto e outros sistemas	Utilidade pública	Água e saneamento	Água e saneamento	Tradicional
Casan	PN	CASN4	Água, esgoto e outros sistemas	Utilidade pública	Água e saneamento	Água e saneamento	Tradicional
CCR SA	ON	CCRO3	Atividades auxiliares ao transporte rodoviário	Bens industriais	Transporte	Exploração de rodovias	Novo Mercado
Cea Modas	ON	CEAB3	Loja de roupas	Consumo cíclico	Comércio	Tecidos vestuário e calçados	Novo Mercado
Ceb	ON	CEBR3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Ceb	PNA	CEBR5	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Ceb	PNB	CEBR6	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Cedro	ON	CEDO3	Tecelagens	Consumo cíclico	Tecidos vestuário e calçados	Fios e tecidos	Nível 1
Cedro	PN	CEDO4	Tecelagens	Consumo cíclico	Tecidos vestuário e calçados	Fios e tecidos	Nível 1
Ceee-D	ON	CEED3	Empresa de eletricidade, gás e água	Utilidade pública	Energia elétrica	Energia elétrica	Nível 1
Ceee-D	PN	CEED4	Empresa de eletricidade, gás e água	Utilidade pública	Energia elétrica	Energia elétrica	Nível 1
Ceee-Gt	ON	EEEL3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Nível 1
Ceee-Gt	PN	EEEL4	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Nível 1
Ceg	ON	CEGR3	Distribuição de gás natural	Utilidade pública	Gás	Gás	Tradicional
Celesc	ON	CLSC3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Nível 2
Celesc	PN	CLSC4	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Nível 2
Celgpar	ON	GPAR3	Empresa de eletricidade, gás e água	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Celpe	ON	CEPE3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Celpe	PNA	CEPE5	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Celpe	PNB	CEPE6	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Cemepe	ON	MAPT3	Administração de empresas e empreendimentos	Outros	Outros	Outros	Tradicional
Cemepe	PN	MAPT4	Administração de empresas e empreendimentos	Outros	Outros	Outros	Tradicional
Cemig	ON	CMIG3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Nível 1
Cemig	PN	CMIG4	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Nível 1
Centauro	ON	CNTO3	Loja de artigos esportivos e instrumentos musicais	Consumo cíclico	Comércio	Produtos diversos	Novo Mercado
Cesp	ON	CESP3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Nível 1
Cesp	PNA	CESP5	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Nível 1
Cesp	PNB	CESP6	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Nível 1
Cia Hering	ON	HGTX3	Indústria de roupas de malha	Consumo cíclico	Tecidos vestuário e calçados	Vestuário	Novo Mercado
Cielo	ON	CIEL3	Serviços de processamento de dados, hospedagem e outros serviços relacionados	Financeiro	Serviços financeiros diversos	Serviços financeiros diversos	Novo Mercado
Cims	ON	CMSA3	Administração de empresas e empreendimentos	Outros	Outros	Outros	Tradicional
Cims	PN	CMSA4	Administração de empresas e empreendimentos	Outros	Outros	Outros	Tradicional
Cinesystem	ON	CNSY3	Indústria cinematográfica	Comunicações	Mídia	Produção e difusão de filmes e programas	Bovespa Mais
Coelba	ON	CEEB3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Coelba	PNA	CEEB5	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Coelba	PNB	CEEB6	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Coelce	ON	COCE3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Coelce	PNA	COCE5	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Coelce	PNB	COCE6	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Cogna ON	ON	COGN3	Escola de ensino superior	Consumo cíclico	Diversos	Serviços educacionais	Novo Mercado
Comgas	ON	CGAS3	Distribuição de gás natural	Utilidade pública	Gás	Gás	Tradicional
Comgas	PNA	CGAS5	Distribuição de gás natural	Utilidade pública	Gás	Gás	Tradicional
Conc Rio Ter	ON	CRTE3B	Atividades auxiliares ao transporte rodoviário	Bens industriais	Transporte	Exploração de rodovias	Balcão Organizado
Conc Rio Ter	PNA	CRTE5B	Atividades auxiliares ao transporte rodoviário	Bens industriais	Transporte	Exploração de rodovias	Balcão Organizado
Const A Lind	ON	CALI3	Construção de edifícios residenciais	Consumo cíclico	Construção civil	Incorporações	Tradicional
Const A Lind	PN	CALI4	Construção de edifícios residenciais	Consumo cíclico	Construção civil	Incorporações	Tradicional
Copasa	ON	CSMG3	Água, esgoto e outros sistemas	Utilidade pública	Água e saneamento	Água e saneamento	Novo Mercado
Copel	ON	CPLE3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Nível 1
Copel	PNA	CPLE5	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Nível 1
Copel	PNB	CPLE6	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Nível 1
Cor Ribeiro	ON	CORR3	Administração de empresas e empreendimentos	Financeiro	Exploração de imóveis	Exploração de imóveis	Tradicional
Cor Ribeiro	PN	CORR4	Administração de empresas e empreendimentos	Financeiro	Exploração de imóveis	Exploração de imóveis	Tradicional
Cosan	ON	CSAN3	Comércio atacadista de petróleo e produtos de petróleo	Petróleo gás e biocombustíveis	Petróleo gás e biocombustíveis	Exploração refino e distribuição	Novo Mercado
Cosan Log	ON	RLOG3	Transporte ferroviário	Bens industriais	Transporte	Transporte ferroviário	Novo Mercado
Cosern	ON	CSRN3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Cosern	PNA	CSRN5	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Cosern	PNB	CSRN6	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Coteminas	ON	CTNM3	Indústria de roupas de tecido	Consumo cíclico	Tecidos vestuário e calçados	Fios e tecidos	Tradicional
Coteminas	PN	CTNM4	Indústria de roupas de tecido	Consumo cíclico	Tecidos vestuário e calçados	Fios e tecidos	Tradicional
CPFL Energia	ON	CPFE3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Novo Mercado
Cr2	ON	CRDE3	Construção de edifícios residenciais	Consumo cíclico	Construção civil	Incorporações	Tradicional
Cristal	ON	CRPG3	Indústria química	Materiais básicos	Químicos	Químicos diversos	Tradicional
Cristal	PNA	CRPG5	Indústria química	Materiais básicos	Químicos	Químicos diversos	Tradicional
Cristal	PNB	CRPG6	Indústria química	Materiais básicos	Químicos	Químicos diversos	Tradicional
Cruzeiro Edu	ON	CSED3	Escola de ensino superior	Consumo cíclico	Diversos	Serviços educacionais	Novo Mercado
Csn Mineraca	ON	CMIN3	Mineração de metais	Materiais básicos	Mineração	Minerais metálicos	Nível 2
Csu Cardsyst	ON	CARD3	Serviços de apoio a empresas	Bens industriais	Serviços diversos	Serviços diversos	Novo Mercado
Ctc S.A.	ON	CTCA3	Agricultura	Consumo não cíclico	Agropecuária	Agricultura	Bovespa Mais
Cury S/A	ON	CURY3	Construção de edifícios residenciais	Consumo cíclico	Construção civil	Incorporações	Novo Mercado
Cvc Brasil	ON	CVCB3	Transporte turístico	Consumo cíclico	Viagens e lazer	Viagens e turismo	Novo Mercado
Cyre Com-Ccp	ON	CCPR3	Locadora de imóveis	Financeiro	Exploração de imóveis	Exploração de imóveis	Novo Mercado
Cyrela Realt	ON	CYRE3	Construção de edifícios residenciais	Consumo cíclico	Construção civil	Incorporações	Novo Mercado
D1000vfarma	ON	DMVF3	Loja de artigos para saúde e cuidados pessoais	Saúde	Comércio e distribuição	Medicamentos e outros produtos	Novo Mercado
Dasa	ON	DASA3	Laboratório de exames médicos	Saúde	Serviços médico-hospitalares análises e diagnósticos	Serviços médico-hospitalares análises e diagnósticos	Tradicional
Dimed	ON	PNVL3	Loja de artigos para saúde e cuidados pessoais	Saúde	Comércio e distribuição	Medicamentos e outros produtos	Nível 2
Dimed	PN	PNVL4	Loja de artigos para saúde e cuidados pessoais	Saúde	Comércio e distribuição	Medicamentos e outros produtos	Nível 2
Direcional	ON	DIRR3	Construção de edifícios residenciais	Consumo cíclico	Construção civil	Incorporações	Novo Mercado
Dohler	ON	DOHL3	Indústria de roupas de tecido	Consumo cíclico	Tecidos vestuário e calçados	Fios e tecidos	Tradicional
Dohler	PN	DOHL4	Indústria de roupas de tecido	Consumo cíclico	Tecidos vestuário e calçados	Fios e tecidos	Tradicional
Dommo	ON	DMMO3	Extração de petróleo e gás	Petróleo gás e biocombustíveis	Petróleo gás e biocombustíveis	Exploração refino e distribuição	Tradicional
Dtcom Direct	ON	DTCY3	Outros tipos de escolas	Bens industriais	Serviços diversos	Serviços diversos	Tradicional
Dtcom Direct	PN	DTCY4	Outros tipos de escolas	Bens industriais	Serviços diversos	Serviços diversos	Tradicional
Duratex	ON	DTEX3	Indústria de móveis e afins	Materiais básicos	Madeira e papel	Madeira	Novo Mercado
Ecorodovias	ON	ECOR3	Atividades auxiliares ao transporte rodoviário	Bens industriais	Transporte	Exploração de rodovias	Novo Mercado
Elektro	ON	EKTR3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Elektro	PN	EKTR4	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Eletrobras	ON	ELET3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Nível 1
Eletrobras	PNA	ELET5	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Nível 1
Eletrobras	PNB	ELET6	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Nível 1
Eletromidia	ON	ELMD3	Administração de empresas e empreendimentos	Comunicações	Mídia	Publicidade e propaganda	Novo Mercado
Eletropar	ON	LIPR3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Emae	ON	EMAE3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Emae	PN	EMAE4	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Embraer	ON	EMBR3	Indústria de equipamentos aeroespacias	Bens industriais	Material de transporte	Material aeronáutico e de defesa	Novo Mercado
Enauta Part	ON	ENAT3	Extração de petróleo e gás	Petróleo gás e biocombustíveis	Petróleo gás e biocombustíveis	Exploração refino e distribuição	Novo Mercado
Encorpar	ON	ECPR3	Indústria de fios	Consumo cíclico	Tecidos vestuário e calçados	Fios e tecidos	Tradicional
Encorpar	PN	ECPR4	Indústria de fios	Consumo cíclico	Tecidos vestuário e calçados	Fios e tecidos	Tradicional
Energias BR	ON	ENBR3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Novo Mercado
Energisa	ON	ENGI3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Nível 2
Energisa	PN	ENGI4	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Nível 2
Energisa	UNT N2	ENGI11	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Nível 2
Energisa Mt	ON	ENMT3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Energisa Mt	PN	ENMT4	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Eneva	ON	ENEV3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Novo Mercado
Engie Brasil	ON	EGIE3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Novo Mercado
Enjoei	ON	ENJU3	Vendas por correio ou meio eletrônico	Tecnologia da informação	Programas e serviços	Programas e serviços	Novo Mercado
Eqtl Maranhao	ON	EQMA3B	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Balcão Organizado
Eqtl Maranhao	PNA	EQMA5B	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Balcão Organizado
Eqtl Maranhao	PNB	EQMA6B	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Balcão Organizado
Eqtl Para	ON	EQPA3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Eqtl Para	PNA	EQPA5	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Eqtl Para	PNB	EQPA6	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Eqtl Para	PNC	EQPA7	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Equatorial	ON	EQTL3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Novo Mercado
Espacolaser	ON	ESPA3	Outros serviços ambulatoriais de saúde	Consumo cíclico	Comércio	Produtos diversos	Novo Mercado
Estapar	ON	ALPK3	Administração de empresas e empreendimentos	Bens industriais	Serviços diversos	Serviços diversos	Novo Mercado
Estrela	ON	ESTR3	Outras outras indústrias	Consumo cíclico	Viagens e lazer	Brinquedos e jogos	Tradicional
Estrela	PN	ESTR4	Outras outras indústrias	Consumo cíclico	Viagens e lazer	Brinquedos e jogos	Tradicional
Eternit	ON	ETER3	Indústria de outros produtos de minerais não metálicos	Bens industriais	Construção e engenharia	Produtos para construção	Novo Mercado
Eucatex	ON	EUCA3	Indústria de produtos de madeira compensada e afins	Materiais básicos	Madeira e papel	Madeira	Nível 1
Eucatex	PN	EUCA4	Indústria de produtos de madeira compensada e afins	Materiais básicos	Madeira e papel	Madeira	Nível 1
Even	ON	EVEN3	Construção de edifícios residenciais	Consumo cíclico	Construção civil	Incorporações	Novo Mercado
